               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070096,            0.039828,            0.049624,              0.1643,             0.14993,            0.022721,           0.0052358,            0.063506,            0.020706,            0.047221,            0.070211,           0.0033099,           0.0033099
                   1,            0.053971,            0.032025,            0.036988,             0.17213,             0.16935,            0.023585,           0.0063344,            0.065165,            0.046547,            0.086906,            0.040146,           0.0065774,           0.0065774
                   2,            0.049749,            0.029009,            0.027479,             0.91797,            0.076852,            0.086296,            0.027255,             0.06798,            0.046176,            0.064068,            0.010014,            0.009779,            0.009779
                   3,            0.045728,            0.027342,            0.020751,             0.59126,             0.69472,             0.62958,             0.23167,            0.043279,            0.022096,            0.013828,            0.009703,            0.009703,            0.009703
                   4,             0.04194,            0.025873,            0.015346,             0.41807,             0.43919,             0.42726,             0.12534,            0.050278,            0.021772,            0.023427,            0.009703,            0.009703,            0.009703
                   5,            0.040144,            0.024828,            0.013281,             0.66772,             0.61784,             0.64434,             0.18947,            0.045088,            0.016709,            0.011668,            0.009604,            0.009604,            0.009604
                   6,            0.038525,             0.02441,            0.010873,             0.72162,             0.68255,              0.6907,             0.22638,            0.044645,             0.01345,           0.0067203,            0.009505,            0.009505,            0.009505
                   7,            0.037146,            0.023654,            0.009921,             0.83134,             0.79878,             0.80598,             0.28096,            0.041838,            0.014182,           0.0045459,            0.009406,            0.009406,            0.009406
                   8,            0.036174,            0.023344,           0.0091325,              0.8728,             0.89629,             0.90105,             0.35038,            0.039124,            0.013298,           0.0024204,            0.009307,            0.009307,            0.009307
                   9,            0.035439,            0.023058,           0.0086089,             0.80615,             0.80173,             0.80864,             0.28644,            0.043098,            0.014103,           0.0047693,            0.009208,            0.009208,            0.009208
                  10,            0.034605,            0.022623,           0.0078813,             0.81391,             0.84295,             0.86453,             0.33514,               0.039,            0.013349,           0.0082553,            0.009109,            0.009109,            0.009109
                  11,            0.033939,            0.022107,           0.0067407,             0.91055,             0.90556,             0.93019,             0.45513,            0.034409,            0.012663,           0.0026835,             0.00901,             0.00901,             0.00901
                  12,            0.033431,            0.021877,            0.007172,             0.89783,              0.9402,             0.93314,             0.44694,            0.034542,            0.013228,           0.0020418,            0.008911,            0.008911,            0.008911
                  13,            0.032889,            0.021551,           0.0063015,             0.89109,             0.92455,             0.92314,             0.44201,            0.033568,            0.012404,           0.0020057,            0.008812,            0.008812,            0.008812
                  14,            0.032511,            0.021546,           0.0067639,             0.90191,             0.92006,             0.92052,             0.42166,            0.036373,            0.012431,           0.0018274,            0.008713,            0.008713,            0.008713
                  15,            0.031941,            0.021164,            0.006123,             0.89213,             0.92901,             0.93674,             0.48405,            0.033341,            0.012413,           0.0026994,            0.008614,            0.008614,            0.008614
