               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10035,            0.041808,            0.028273,           0.0038671,             0.65703,           0.0040772,           0.0011185,            0.064623,            0.034182,            0.019525,              0.0802,              0.0022,              0.0022
                   1,            0.078989,            0.042965,             0.02543,           0.0038999,             0.66629,           0.0041467,           0.0011946,            0.060766,            0.033873,            0.019418,            0.059455,           0.0044554,           0.0044554
                   2,            0.071723,            0.043078,            0.020991,           0.0033192,             0.61699,            0.010908,           0.0025979,            0.056209,             0.03471,            0.019363,            0.038665,           0.0066654,           0.0066654
                   3,            0.068367,            0.040154,            0.017172,             0.65834,             0.25685,              0.2259,             0.07505,            0.044732,            0.030028,            0.019289,             0.01783,           0.0088297,           0.0088297
                   4,            0.071122,            0.037153,            0.013408,             0.31163,             0.52713,             0.31764,             0.08414,             0.04585,             0.02828,            0.014693,            0.009604,            0.009604,            0.009604
                   5,            0.064823,            0.035455,           0.0086018,               0.341,             0.37333,             0.33227,            0.071829,            0.057314,            0.022805,            0.007618,            0.009604,            0.009604,            0.009604
                   6,            0.066189,            0.034919,           0.0093387,            0.050525,             0.19423,            0.035439,           0.0098971,            0.062598,            0.020727,            0.010353,            0.009505,            0.009505,            0.009505
                   7,            0.056947,            0.034954,           0.0069198,             0.17552,             0.43028,             0.14104,            0.042351,            0.047579,            0.022389,           0.0061007,            0.009406,            0.009406,            0.009406
                   8,            0.059622,            0.033949,           0.0047327,             0.16966,             0.55228,             0.25604,            0.090839,            0.045459,             0.02186,           0.0024866,            0.009307,            0.009307,            0.009307
                   9,            0.057822,            0.031153,           0.0045799,             0.22428,             0.50431,             0.29659,            0.090417,            0.044266,            0.021273,           0.0017493,            0.009208,            0.009208,            0.009208
                  10,             0.05286,            0.031779,           0.0033418,             0.47409,             0.68244,             0.54169,             0.16627,            0.039685,            0.024558,           0.0020182,            0.009109,            0.009109,            0.009109
                  11,            0.052729,            0.029565,           0.0037385,             0.59754,             0.78904,             0.74078,              0.2663,            0.035834,            0.022855,           0.0015367,             0.00901,             0.00901,             0.00901
                  12,            0.051494,            0.029011,            0.002819,             0.63879,             0.75169,             0.70747,             0.21822,            0.042188,            0.018967,          0.00083389,            0.008911,            0.008911,            0.008911
                  13,            0.049615,            0.026966,           0.0025955,              0.6846,             0.91695,             0.83877,             0.41696,            0.031204,            0.017534,           0.0013455,            0.008812,            0.008812,            0.008812
                  14,            0.046858,            0.026719,           0.0025057,             0.91375,              0.7445,               0.794,             0.34518,            0.035415,            0.017655,          0.00077284,            0.008713,            0.008713,            0.008713
                  15,            0.045334,             0.02506,           0.0022876,             0.94305,             0.95991,             0.97793,             0.50305,            0.025882,            0.017392,          0.00066864,            0.008614,            0.008614,            0.008614
                  16,            0.043858,            0.025459,            0.002151,             0.68321,             0.99006,             0.88232,             0.51377,            0.026367,            0.015541,          0.00063849,            0.008515,            0.008515,            0.008515
                  17,            0.043108,            0.023617,           0.0022385,             0.91028,             0.93981,             0.96798,              0.5324,            0.029081,              0.0156,          0.00091182,            0.008416,            0.008416,            0.008416
                  18,             0.04271,             0.02419,           0.0018258,             0.87117,             0.97174,             0.98172,              0.5009,            0.025297,            0.016525,           0.0010337,            0.008317,            0.008317,            0.008317
                  19,            0.040304,            0.023431,            0.001988,             0.96166,              0.9895,             0.98521,             0.59936,            0.023072,            0.016838,          0.00064413,            0.008218,            0.008218,            0.008218
                  20,            0.040268,            0.022814,           0.0018192,             0.92613,             0.96595,             0.98219,             0.51785,            0.025904,            0.016947,          0.00060488,            0.008119,            0.008119,            0.008119
                  21,            0.039699,            0.023204,           0.0023463,             0.97315,              0.9904,             0.99088,             0.59091,            0.021378,            0.014263,          0.00096171,             0.00802,             0.00802,             0.00802
                  22,            0.039097,            0.021503,           0.0017573,             0.93697,              0.9863,             0.97875,              0.5594,             0.02759,            0.013042,           0.0010655,            0.007921,            0.007921,            0.007921
                  23,            0.036223,             0.02268,           0.0017372,             0.96924,             0.99315,             0.98663,             0.63935,            0.019539,             0.01412,          0.00046532,            0.007822,            0.007822,            0.007822
                  24,            0.035484,            0.021785,           0.0017263,             0.97709,             0.98329,             0.98585,             0.65204,            0.020109,             0.01409,          0.00055239,            0.007723,            0.007723,            0.007723
                  25,            0.036598,             0.02158,           0.0014338,             0.98257,             0.98714,             0.98728,             0.49683,            0.026303,            0.013913,           0.0005806,            0.007624,            0.007624,            0.007624
                  26,            0.036196,            0.022973,           0.0014687,             0.98567,             0.99432,             0.99112,             0.65008,            0.020792,            0.012837,           0.0008753,            0.007525,            0.007525,            0.007525
                  27,            0.035169,            0.020406,           0.0015665,             0.98238,             0.98973,             0.98309,             0.62405,            0.020787,            0.013083,          0.00084567,            0.007426,            0.007426,            0.007426
                  28,            0.034795,            0.020669,           0.0013625,             0.97485,             0.98085,             0.98068,             0.59809,            0.021555,            0.014251,          0.00049878,            0.007327,            0.007327,            0.007327
                  29,            0.036908,            0.021051,            0.001238,             0.98383,             0.99315,             0.98913,             0.65356,            0.019895,            0.013083,          0.00048398,            0.007228,            0.007228,            0.007228
                  30,            0.033004,            0.020662,           0.0012067,             0.98477,             0.99273,             0.99386,             0.63553,             0.01979,            0.012548,          0.00051076,            0.007129,            0.007129,            0.007129
                  31,            0.033052,            0.020256,            0.001226,             0.98913,             0.99658,             0.99458,             0.63654,            0.019475,            0.012702,          0.00043222,             0.00703,             0.00703,             0.00703
                  32,            0.033306,             0.02097,          0.00087297,             0.98824,             0.99658,             0.99441,             0.64546,            0.020025,             0.01282,          0.00032758,            0.006931,            0.006931,            0.006931
                  33,            0.032134,            0.018615,           0.0010682,             0.98694,             0.99658,             0.99423,             0.69804,            0.018145,             0.01236,          0.00044032,            0.006832,            0.006832,            0.006832
                  34,            0.031606,            0.020645,           0.0012414,             0.98824,             0.99315,             0.99464,             0.68285,            0.018368,            0.011998,          0.00052232,            0.006733,            0.006733,            0.006733
                  35,            0.030109,             0.01978,             0.00116,              0.9855,             0.99658,             0.99237,             0.71298,            0.016294,            0.011793,          0.00047458,            0.006634,            0.006634,            0.006634
                  36,            0.029907,            0.019408,           0.0012665,             0.98535,             0.99658,             0.99365,             0.65508,            0.017741,            0.011854,          0.00044906,            0.006535,            0.006535,            0.006535
                  37,            0.031566,            0.019286,          0.00087116,             0.98855,             0.99288,             0.99429,             0.63265,            0.020321,            0.012116,          0.00053286,            0.006436,            0.006436,            0.006436
