               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097577,             0.11281,            0.084344,            0.003354,             0.10405,           0.0029636,          0.00068191,            0.085652,            0.077761,            0.084256,            0.070166,           0.0033149,           0.0033149
                   1,            0.076824,            0.097685,            0.081945,            0.017227,             0.46251,            0.033511,            0.010485,            0.063286,            0.063393,            0.080319,              0.0401,           0.0065824,           0.0065824
                   2,            0.067305,            0.086991,            0.078364,            0.028825,             0.65966,            0.088664,            0.032578,            0.053658,            0.053364,            0.074182,           0.0099681,           0.0097839,           0.0097839
                   3,            0.056149,            0.078996,            0.074034,             0.82189,             0.16601,             0.20869,             0.10389,             0.04299,            0.049447,            0.068848,            0.009703,            0.009703,            0.009703
                   4,            0.050232,            0.074774,             0.06934,             0.77402,             0.25183,             0.30151,             0.12774,            0.047164,            0.045529,            0.063209,            0.009703,            0.009703,            0.009703
                   5,            0.047269,            0.070182,            0.064593,             0.73106,             0.30161,             0.37679,             0.17152,            0.042178,             0.04306,             0.05694,            0.009604,            0.009604,            0.009604
                   6,            0.045556,            0.067226,            0.059614,             0.58726,             0.46158,             0.51585,             0.26052,            0.038279,            0.041733,            0.051344,            0.009505,            0.009505,            0.009505
                   7,            0.044824,              0.0676,            0.054431,             0.51693,             0.51873,             0.56602,             0.28659,            0.041744,            0.041393,             0.04587,            0.009406,            0.009406,            0.009406
                   8,             0.04454,            0.065806,            0.049418,             0.64108,             0.54538,             0.64096,             0.33675,            0.035298,            0.040055,            0.041646,            0.009307,            0.009307,            0.009307
                   9,            0.042779,            0.065522,            0.045062,             0.61427,             0.63549,             0.65977,             0.33392,             0.03904,            0.040173,            0.037241,            0.009208,            0.009208,            0.009208
                  10,            0.043478,              0.0634,            0.040738,              0.6558,             0.71192,             0.74777,             0.39424,            0.037098,            0.040048,            0.033081,            0.009109,            0.009109,            0.009109
                  11,            0.042236,            0.063535,            0.037127,             0.74082,             0.73351,             0.79901,             0.46072,            0.033798,            0.038988,            0.029287,             0.00901,             0.00901,             0.00901
                  12,            0.041473,            0.061605,            0.033927,             0.74252,             0.74364,             0.80793,             0.44425,            0.035317,            0.039396,            0.026659,            0.008911,            0.008911,            0.008911
                  13,             0.04073,             0.06155,            0.030975,             0.78266,             0.77578,              0.8226,             0.42164,            0.037329,            0.039696,            0.024396,            0.008812,            0.008812,            0.008812
                  14,            0.040991,            0.061093,            0.029109,             0.84418,             0.79157,             0.87684,             0.50828,            0.033471,            0.039313,             0.02232,            0.008713,            0.008713,            0.008713
                  15,             0.04017,            0.059643,            0.026859,             0.81065,             0.81239,             0.86811,             0.43122,             0.03789,            0.040058,            0.019995,            0.008614,            0.008614,            0.008614
                  16,            0.039121,            0.059698,            0.024899,             0.84177,             0.85252,             0.90195,             0.52843,            0.032987,            0.038503,            0.019219,            0.008515,            0.008515,            0.008515
                  17,            0.038596,            0.059185,            0.023323,             0.86682,             0.86113,             0.91207,             0.47142,            0.036944,            0.040133,            0.017637,            0.008416,            0.008416,            0.008416
                  18,            0.038775,            0.058834,            0.022045,             0.90097,             0.84646,             0.91859,             0.55106,            0.031932,            0.038731,            0.016604,            0.008317,            0.008317,            0.008317
                  19,            0.038442,            0.058413,             0.02083,              0.8538,             0.88954,             0.91385,             0.53198,            0.032685,            0.038806,            0.016148,            0.008218,            0.008218,            0.008218
                  20,            0.036888,            0.057576,            0.019658,             0.90914,             0.88824,             0.92742,             0.52765,            0.034299,            0.039621,             0.01479,            0.008119,            0.008119,            0.008119
                  21,            0.036673,            0.056684,            0.018572,             0.91438,              0.8891,             0.92509,             0.52038,            0.033725,             0.03908,            0.013739,             0.00802,             0.00802,             0.00802
