               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092174,            0.039897,            0.033632,           0.0019503,             0.30144,           0.0015981,          0.00053756,            0.058142,            0.022211,            0.023601,            0.070682,           0.0032576,           0.0032576
                   1,            0.076368,            0.042035,            0.028871,           0.0038268,             0.47943,            0.016564,           0.0040253,            0.049505,            0.021883,            0.021422,            0.040617,           0.0065257,           0.0065257
                   2,            0.065848,            0.045246,            0.023959,           0.0049254,             0.63279,             0.01801,           0.0042918,            0.046679,            0.018675,            0.016425,            0.010485,           0.0097277,           0.0097277
                   3,            0.060568,             0.04354,            0.023618,             0.56796,            0.095703,            0.039301,           0.0081971,            0.047313,            0.018789,            0.013978,            0.009703,            0.009703,            0.009703
                   4,            0.057989,            0.041832,            0.019947,             0.55755,            0.099609,            0.032745,           0.0084937,            0.049196,            0.021205,            0.013164,            0.009703,            0.009703,            0.009703
                   5,            0.057796,            0.042953,            0.016758,             0.13408,             0.23382,             0.14052,             0.04565,            0.037676,            0.023597,           0.0087169,            0.009604,            0.009604,            0.009604
                   6,            0.053365,            0.040755,            0.015649,             0.64112,             0.19727,             0.13902,            0.042423,            0.038391,            0.021593,            0.010998,            0.009505,            0.009505,            0.009505
                   7,            0.051806,            0.036623,            0.015001,             0.37112,             0.37141,             0.31508,             0.11365,            0.036168,            0.016947,           0.0098919,            0.009406,            0.009406,            0.009406
                   8,            0.049618,             0.03793,            0.012909,             0.44686,             0.56152,             0.48455,             0.18845,            0.034178,            0.016425,           0.0057742,            0.009307,            0.009307,            0.009307
                   9,            0.050668,            0.036694,            0.012162,             0.40704,             0.57599,             0.48541,             0.21577,            0.030994,            0.015603,           0.0062959,            0.009208,            0.009208,            0.009208
                  10,            0.044946,            0.035595,            0.011406,             0.39754,             0.52626,               0.421,             0.16002,             0.03268,            0.015635,           0.0055373,            0.009109,            0.009109,            0.009109
