               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079212,            0.041807,            0.029646,           0.0047907,             0.66615,            0.034648,           0.0077951,            0.046285,            0.021188,            0.018311,            0.070229,           0.0033079,           0.0033079
                   1,            0.057989,            0.044811,            0.021978,            0.064922,             0.11664,            0.069937,            0.024121,            0.041049,            0.024035,            0.013344,            0.040163,           0.0065755,           0.0065755
                   2,            0.052192,            0.042527,            0.018356,             0.61864,             0.14705,             0.11007,            0.029443,            0.038704,            0.018602,           0.0091104,            0.010032,           0.0097771,           0.0097771
                   3,            0.049534,            0.040453,            0.015829,             0.34379,             0.42009,             0.27261,             0.07766,            0.040806,            0.015863,           0.0069559,            0.009703,            0.009703,            0.009703
                   4,            0.045715,              0.0382,            0.013201,             0.46115,             0.39495,             0.29445,             0.10417,            0.044104,             0.01595,           0.0074619,            0.009703,            0.009703,            0.009703
                   5,            0.043112,            0.036714,            0.011504,             0.39334,             0.46246,              0.3115,            0.092816,            0.038912,            0.016305,           0.0057129,            0.009604,            0.009604,            0.009604
                   6,             0.04181,            0.035286,            0.011867,             0.48625,             0.52086,             0.41328,             0.14588,            0.035657,            0.013831,            0.006049,            0.009505,            0.009505,            0.009505
                   7,            0.040417,            0.034931,           0.0093894,             0.52329,             0.46922,              0.4276,             0.13892,            0.037806,             0.01402,            0.003847,            0.009406,            0.009406,            0.009406
                   8,            0.039963,             0.03486,           0.0090899,             0.64015,             0.54996,             0.51919,             0.15419,            0.038809,            0.012887,           0.0029335,            0.009307,            0.009307,            0.009307
                   9,              0.0407,            0.034591,           0.0096502,             0.52711,             0.56056,             0.50406,             0.15048,            0.035507,            0.014376,           0.0043072,            0.009208,            0.009208,            0.009208
                  10,            0.038413,            0.034464,           0.0081173,             0.57567,             0.49211,             0.44935,              0.1524,            0.037838,            0.012726,             0.00386,            0.009109,            0.009109,            0.009109
                  11,            0.038362,            0.033023,           0.0076182,             0.54119,             0.51703,              0.4335,             0.15284,            0.035744,            0.014744,           0.0046739,             0.00901,             0.00901,             0.00901
                  12,             0.03667,            0.031966,           0.0078195,             0.68304,             0.50772,             0.53869,             0.18806,            0.036415,             0.01268,           0.0029069,            0.008911,            0.008911,            0.008911
                  13,            0.037571,            0.032767,           0.0069485,             0.65101,             0.61337,             0.59882,             0.22016,             0.03426,            0.012882,           0.0023905,            0.008812,            0.008812,            0.008812
                  14,            0.036917,            0.032351,           0.0066064,              0.6448,             0.58034,             0.57514,             0.22327,            0.033567,            0.012342,           0.0024116,            0.008713,            0.008713,            0.008713
                  15,             0.03422,            0.031739,           0.0062755,             0.73578,             0.53863,             0.60536,             0.21258,            0.032173,            0.012001,            0.002427,            0.008614,            0.008614,            0.008614
                  16,            0.035013,            0.031313,           0.0066501,              0.6584,             0.56354,             0.56754,             0.20134,            0.034401,            0.012245,           0.0026219,            0.008515,            0.008515,            0.008515
                  17,            0.034764,            0.031551,           0.0057565,             0.61301,             0.59873,             0.59153,             0.20467,            0.034851,            0.011654,            0.001936,            0.008416,            0.008416,            0.008416
                  18,            0.035075,             0.03141,           0.0083466,             0.64483,             0.61831,              0.5958,             0.21413,            0.032643,            0.012238,             0.00202,            0.008317,            0.008317,            0.008317
                  19,            0.034326,            0.030858,           0.0062664,             0.77194,             0.61417,             0.69557,             0.26247,            0.031182,            0.012281,           0.0019777,            0.008218,            0.008218,            0.008218
                  20,            0.033726,            0.031701,           0.0069052,             0.63593,             0.55583,             0.55565,             0.20673,             0.03559,            0.013154,           0.0021769,            0.008119,            0.008119,            0.008119
                  21,            0.034011,            0.031012,           0.0068797,              0.6802,             0.60444,             0.62424,              0.2759,             0.02922,            0.012247,           0.0023809,             0.00802,             0.00802,             0.00802
                  22,            0.034653,            0.032048,           0.0059469,             0.69589,             0.69449,             0.67465,             0.28119,            0.029512,            0.012403,           0.0011893,            0.007921,            0.007921,            0.007921
                  23,             0.03277,            0.030631,           0.0059255,               0.671,             0.61716,             0.64946,             0.24198,            0.031031,            0.011854,           0.0021354,            0.007822,            0.007822,            0.007822
                  24,            0.034074,            0.031263,           0.0061464,             0.71035,             0.71321,             0.73421,              0.3111,            0.027698,            0.011578,           0.0015038,            0.007723,            0.007723,            0.007723
                  25,            0.032291,            0.029612,           0.0061383,             0.73482,             0.68854,             0.71527,             0.27687,            0.030523,            0.011547,           0.0014915,            0.007624,            0.007624,            0.007624
                  26,            0.032962,             0.03079,           0.0053434,             0.73779,             0.69649,               0.711,             0.25872,            0.031847,            0.011339,           0.0018514,            0.007525,            0.007525,            0.007525
                  27,            0.033581,            0.029488,           0.0044341,              0.7051,             0.70894,             0.72259,                0.29,            0.029685,            0.011273,           0.0016431,            0.007426,            0.007426,            0.007426
                  28,            0.032888,            0.029549,           0.0071239,              0.6469,             0.60193,             0.62175,             0.22108,            0.034215,            0.012151,           0.0048952,            0.007327,            0.007327,            0.007327
                  29,            0.033187,              0.0303,           0.0063054,             0.74439,             0.66073,             0.69377,             0.27677,            0.029859,            0.011731,           0.0015121,            0.007228,            0.007228,            0.007228
                  30,            0.032116,            0.029547,           0.0060601,             0.69055,             0.66519,             0.71184,             0.26591,            0.031185,            0.011361,           0.0012732,            0.007129,            0.007129,            0.007129
                  31,            0.030471,            0.029823,           0.0053675,             0.77002,             0.61877,             0.69149,             0.27697,            0.029823,            0.011112,           0.0023156,             0.00703,             0.00703,             0.00703
                  32,            0.030762,            0.029666,           0.0050847,             0.65973,             0.73857,             0.72384,              0.2872,            0.029495,            0.011265,           0.0015519,            0.006931,            0.006931,            0.006931
                  33,            0.032117,            0.028664,           0.0054342,             0.72522,             0.61434,             0.62585,             0.21922,            0.033886,            0.011673,           0.0019661,            0.006832,            0.006832,            0.006832
                  34,            0.031387,            0.028889,           0.0046217,             0.70812,             0.68648,             0.71064,             0.29137,            0.030147,            0.010992,           0.0014166,            0.006733,            0.006733,            0.006733
                  35,            0.030906,            0.028813,           0.0048613,             0.72138,             0.67611,             0.72504,             0.30875,            0.028832,            0.011502,           0.0021441,            0.006634,            0.006634,            0.006634
                  36,            0.031413,            0.028627,           0.0054505,             0.73923,             0.63772,             0.69402,             0.28779,             0.02954,            0.011677,           0.0034746,            0.006535,            0.006535,            0.006535
                  37,            0.031079,            0.028965,           0.0047522,             0.66141,             0.70851,              0.6929,              0.2617,            0.031921,            0.011319,           0.0020184,            0.006436,            0.006436,            0.006436
                  38,            0.030512,            0.029108,            0.004806,             0.72796,              0.7297,             0.76176,             0.34197,            0.029307,            0.010506,            0.001072,            0.006337,            0.006337,            0.006337
                  39,            0.029967,            0.027407,           0.0047884,             0.72098,             0.78143,              0.7908,             0.34042,            0.029311,            0.010939,            0.001543,            0.006238,            0.006238,            0.006238
                  40,            0.030006,            0.028342,           0.0042399,             0.69953,             0.77332,             0.75812,             0.34479,            0.028102,            0.010816,            0.002067,            0.006139,            0.006139,            0.006139
                  41,            0.029656,            0.027587,           0.0035886,             0.68388,             0.76716,             0.76015,             0.31531,            0.030363,             0.01082,           0.0015923,             0.00604,             0.00604,             0.00604
                  42,            0.029206,            0.027842,           0.0037126,             0.70238,             0.73435,             0.75098,             0.30312,            0.029995,            0.010894,           0.0018104,            0.005941,            0.005941,            0.005941
                  43,            0.029972,            0.026908,           0.0042671,             0.66475,             0.74958,             0.75379,              0.3228,            0.029786,            0.011076,           0.0021704,            0.005842,            0.005842,            0.005842
                  44,            0.028981,            0.026967,           0.0040473,             0.70527,             0.77723,             0.76086,             0.31689,            0.029336,            0.010964,           0.0011759,            0.005743,            0.005743,            0.005743
                  45,            0.029117,            0.028202,           0.0045801,             0.74504,             0.74916,             0.78183,             0.32447,            0.028708,            0.010488,          0.00080468,            0.005644,            0.005644,            0.005644
                  46,            0.028868,            0.027085,           0.0042359,             0.73497,             0.73531,             0.75588,             0.33387,            0.028513,            0.010769,           0.0012605,            0.005545,            0.005545,            0.005545
                  47,            0.028712,            0.027514,           0.0036311,             0.72125,             0.75683,             0.77399,             0.34256,            0.027981,            0.010673,          0.00098977,            0.005446,            0.005446,            0.005446
                  48,             0.02795,            0.026633,           0.0047013,             0.70589,             0.79023,             0.75749,             0.31648,            0.029387,            0.010886,          0.00075896,            0.005347,            0.005347,            0.005347
                  49,            0.029783,            0.028109,           0.0058051,             0.68845,               0.735,             0.74789,             0.37916,            0.027014,            0.011591,           0.0016252,            0.005248,            0.005248,            0.005248
                  50,            0.029421,            0.028059,           0.0038246,             0.72063,             0.76853,             0.77461,             0.35711,            0.028161,            0.010841,          0.00095059,            0.005149,            0.005149,            0.005149
                  51,            0.028127,            0.027108,           0.0035975,             0.72337,             0.74013,             0.76639,             0.33949,            0.029103,            0.010768,           0.0011314,             0.00505,             0.00505,             0.00505
                  52,              0.0294,            0.027731,           0.0039311,             0.76385,              0.7901,             0.79631,             0.35733,            0.028075,              0.0106,          0.00091853,            0.004951,            0.004951,            0.004951
                  53,            0.027679,            0.026686,           0.0043103,             0.74674,             0.72451,             0.75865,             0.36118,            0.027718,            0.010762,           0.0012011,            0.004852,            0.004852,            0.004852
                  54,            0.027944,            0.027417,           0.0035822,             0.74811,             0.76926,             0.79173,             0.37276,             0.02746,            0.010567,          0.00075184,            0.004753,            0.004753,            0.004753
                  55,            0.028259,            0.026179,           0.0036102,             0.76403,             0.72279,              0.7831,             0.34596,            0.029037,            0.010569,          0.00074505,            0.004654,            0.004654,            0.004654
                  56,            0.028035,            0.026508,           0.0032631,             0.71653,             0.76941,             0.77727,             0.37933,             0.02674,            0.010625,          0.00072799,            0.004555,            0.004555,            0.004555
                  57,            0.027156,            0.026603,            0.004088,             0.79788,             0.72579,             0.78858,             0.37421,            0.027387,             0.01037,          0.00095124,            0.004456,            0.004456,            0.004456
                  58,             0.02684,            0.026236,           0.0031002,             0.72883,             0.75116,             0.78121,             0.35732,            0.028546,            0.010488,           0.0008001,            0.004357,            0.004357,            0.004357
                  59,            0.027991,            0.026279,           0.0033187,              0.7612,             0.71187,             0.76609,             0.33848,              0.0292,            0.010384,          0.00081061,            0.004258,            0.004258,            0.004258
                  60,            0.026805,            0.025814,           0.0037189,             0.75657,             0.72329,             0.76828,             0.35311,            0.028012,            0.010932,          0.00099809,            0.004159,            0.004159,            0.004159
                  61,            0.026629,            0.026819,           0.0032607,              0.7393,             0.73731,             0.78393,             0.35386,            0.027936,            0.010255,           0.0012534,             0.00406,             0.00406,             0.00406
                  62,            0.026287,            0.026417,           0.0034081,             0.71795,             0.73855,              0.7549,             0.36683,            0.027751,            0.010996,          0.00073808,            0.003961,            0.003961,            0.003961
                  63,            0.027069,            0.025902,            0.003543,             0.73896,             0.79547,             0.80312,             0.37593,            0.027146,              0.0106,          0.00069762,            0.003862,            0.003862,            0.003862
                  64,            0.026743,            0.026026,           0.0026686,             0.76043,             0.76941,             0.79797,             0.38676,            0.026867,            0.010396,          0.00089924,            0.003763,            0.003763,            0.003763
                  65,            0.025432,            0.025714,           0.0026664,             0.73638,             0.71151,             0.75047,             0.35689,            0.026866,            0.010569,          0.00077736,            0.003664,            0.003664,            0.003664
                  66,            0.026872,            0.025499,           0.0034587,             0.70743,             0.76435,             0.75577,             0.35579,              0.0267,            0.010739,           0.0006674,            0.003565,            0.003565,            0.003565
                  67,            0.025674,            0.025106,           0.0037592,             0.71708,             0.75319,             0.76793,             0.36748,            0.026932,            0.010411,          0.00091257,            0.003466,            0.003466,            0.003466
                  68,            0.026215,            0.025289,           0.0035845,              0.7792,             0.74296,             0.78577,             0.35608,            0.028094,            0.010281,          0.00067319,            0.003367,            0.003367,            0.003367
                  69,            0.026395,            0.025341,           0.0035276,             0.74821,              0.7528,             0.78757,              0.3794,            0.026333,            0.010497,          0.00052479,            0.003268,            0.003268,            0.003268
                  70,             0.02621,            0.024708,           0.0031434,             0.78292,             0.76661,             0.80526,             0.38019,            0.026962,            0.010243,          0.00057057,            0.003169,            0.003169,            0.003169
                  71,            0.026741,            0.025602,           0.0032588,             0.77734,             0.74903,             0.78527,              0.3691,            0.027416,            0.010664,          0.00069656,             0.00307,             0.00307,             0.00307
                  72,            0.026437,            0.024888,           0.0034098,             0.75536,             0.71755,             0.76519,             0.37874,            0.027372,            0.010848,           0.0015357,            0.002971,            0.002971,            0.002971
                  73,            0.026689,            0.026347,           0.0049458,             0.78241,             0.72664,             0.78573,             0.35947,            0.028321,            0.010691,          0.00094342,            0.002872,            0.002872,            0.002872
                  74,            0.025211,            0.025022,           0.0034488,              0.7634,             0.72304,             0.77379,             0.40722,            0.025639,            0.010694,           0.0011983,            0.002773,            0.002773,            0.002773
                  75,            0.026006,            0.025302,           0.0030855,             0.80637,             0.73866,             0.79477,              0.3983,            0.027076,            0.010459,           0.0010838,            0.002674,            0.002674,            0.002674
